tweet,label,#pos,#neg
ξεκιναω παγκοσμιος πρωταθλημα βρετανια κατεβαινει παραδοσιακο συστημας ανοσια αγελης φουλ επιθεση ελαχιστη προσοχη αμυνος γερμανια πολλε μεθ στενο τεστινγκ,4,0,0
ωρας βγω μπαλκονι χειροκροτησουμε μαρεβο ιος,4,0,0
συνολο οικονομικος μετρο εχω εξαγγειλει ανακουφιζουν εργαζομενου αυτοαπασχολουμενους ευαλωτες κοινωνικες ομαδε αχθος οικονομικος υποχρεωσεο απλωνει διχτυ προστασια νοικοκυρια πληττομαι,2,0,0
πιστευω υψηλος ποσοστο ελαβε μετρο ιο οφειλομαι αποκλειστικος μετρο οποια ελαβε μετρο ελαβε σχεση μετρο εληφθησαν υπολοιπες χωρα,1,0,0
γυαλισε ματι λεμεεεε δεν καλυπτω ενας περιπα ολα θελω ενας φυσιολογικος ανθρωπο θελω ζωη πησω βασικα δεν παλευω,4,2,0
πολυ κρισιμος χρονικος σημειος οποιος ερνηση οφειλει λαβει μετρο στηριξει ελληνικη κοινωνιας ιο,3,0,0
μιζω κυβερνησαρα μεσα μολις μερε ενας μονο υπουργος αναιρεσε απολυσει σκεφτειτε ολη μαζι ευημερι οδηγησω γι ξαναψηφιστε ειδικα μεταξυ ιο,4,0,1
ελλαδα δυστυχω βλεπω δε γινομαι συζητηση ουσιαστικη στηριξη επιχειρησεα ερνηση ιος,3,0,0
εκει περα ερνηση πρεπει αντιληφθω υπαρχει πολυ μεγαλος αριθμο συμπολιτων οποιος ονιος ανεργοι γι αυτου δυστυχω δεν προβλεπομαι τιποτα ιος,3,0,0
δεν μπορω διερωτωμεθα ποιους λογου υπαρχω αυξημενες τιμες ικη αγορας οταν παραγωγοι επαρχιας αποκλειομαι αρα ελαχιστος παραγωγος παραμενω ανεβαζω τιμες θελω ερνηση ιος,3,0,0
υπαρχω ενα πολυ μεγαλος ζητημο παραγωγου λαικων αγορα υπαρχω εκκλησει ανθρωπο προτεινω γινομαι σταδιακα μεταβαση ικες αγορα ερνηση ιος,3,0,0
θελω πρωτογενη τομεο χωρο ειδικα τελευταιες ημερα πλησιαζουμε πασχος εκκλησει κτηνοτροφων γινομαι πιο εντονες βλεπω δυστυχως δεν εισακουομαι ερνηση οφοι ιος,3,0,0
βλεπω μεγαλες μεριδε συμπολιτος οπως οφοι οτα δεν περιλαμβανομαι κανενος μετρο εξαγγελλω αποσπασματικος ερνηση ιος,3,0,0
πριν ηταν θεμα εθνικο πολιτικος κοινωνικος λ τωρο θεμο ζωη θανατου,3,0,0
αποθεωνω ρωσοι γενικοτερα ελληνικη,2,0,0
απαγορευσε τσιγαρο κυκλοφορια εκκλησιος κολυμπι δεν ξερω τωρα ακομα επιτρεπομαι αναπνοη ξεφτιλας ινα,4,0,0
χιλιαδε ζωα εξαρτωνται κρισιμες αποφασει ανθρωπο δεν ξερω φορεσουν ουτε μασκο,3,0,0
στ πετσας πιο κρισιμη φαση πολεμο ιος ια ιας ερνηση,3,0,0
μεταξυ ειχε εδω δικιο αδωνις βενζινη κυριολεκτικα κατακρημνιστηκε ιος,2,0,0
γινει μπανιο θαλασσα εξεταζω,1,0,0
εμπαιγμο κατηγορω δικηγοροι,1,0,0
ισπανικη συμφωνα εφημεριδας διατηρησω λουκετο ποδοσφαιρο εως τελευταιος επιπεδο συναγερμο ιο,1,0,0
αποψη απριλης σκληροτερος μηνας γραφει α παπαγιαννιδης ιο ια ερνηση,3,0,0
κροατομουσουλμανικης ομοσπονδιας βοσνιας ερζεγοβινης ανακοινωσε πακετο μετρο υψους εκατομμυριο ευρω στηριξη επιχειρησεα νοικοκυριο ιος ιας,2,0,0
γιουκον καναδας ζητουν σταματησω μεταλλεια λειτουργω εκατονταδα εργατες κυλιομενες βαρδιες γιατι μεγαλος κινδυνο μεταδοση κοινοτητα χαλκιδικη δεν κινδυνος,1,0,0
βουλγαρια προτεινω παραταση κατασταση εκτακτης αναγκη ανια,1,0,1
δασκαλοι προς επειγοντως ανοιξτε σχολειας προτου μαθητε μαθω σκεφτομαι εαυτο ιος,4,0,0
βουλγαριας προτεινω παραταση κατασταση εκτακτης αναγκη μεχρι μαΐου πλαισιο μετρο αντιμετωπιση πανδημιας ιου ιος,1,0,0
