tweet,label,#pos,#neg
ξεκιναω παγκοσμιος πρωταθλημα βρετανια κατεβαινει παραδοσιακο συστημας ανοσια αγελης φουλ επιθεση ελαχιστη προσοχη αμυνος γερμανια πολλε μεθ στενο τεστινγκ καραντινα μενουμεσπιτι,4,0,0
ωρο βγω μπαλκονι χειροκροτησουμε μαρεβο,4,0,0
συνολο οικονομικος μετρα εχω εξαγγειλει ανακουφιζουν εργαζομενου αυτοαπασχολουμενους ευαλωτες κοινωνικες ομαδα αχθος οικονομικος υποχρεωσεο απλωνει διχτυ προστασια νοικοκυρια πληττομαι,2,0,0
πιστευω υψηλος ποσοστο ελαβε μετρας οφειλομαι αποκλειστικος μετρας οποια ελαβε μετρας ελαβε σχεση μετρας εληφθησαν υπολοιπες χωρε,1,0,0
μενω σπιτι καραντινα γυαλισε ματι λεμεεεε δεν καλυπτω ενας περιπατο ολα θελω ενας φυσιολογικος ανθρωπο θελω ζωη πησω βασικα δεν παλευω,4,3,0
πολυ κρισιμος χρονικος σημειος οποιος οφειλει λαβει μετρας στηριξει ελληνικη κοινωνιας,3,0,0
μιζω κυβερνησαρα μεσα μολις μερε ενας μονο υπουργος αναιρεσε απολυσει σκεφτειτε ολη μαζι ευημεριο οδηγησω γι ξαναψηφιστε ειδικα μεταξυ,4,0,1
ελλαδα δυστυχω βλεπω δε γινομαι συζητηση ουσιαστικη στηριξη επιχειρησεα,3,0,0
εκει περα πρεπει αντιληφθω υπαρχει πολυ μεγαλος αριθμο συμπολιτων οποιος μακροχρονι ανεργοι γι αυτου δυστυχω δεν προβλεπομαι τιποα,3,0,0
δεν μπορω διερωτωμεθα ποιους λογου υπαρχω αυξημενες τιμες λαικη αγορο οταν παραγωγοι επαρχιας αποκλειομαι αρα ελαχιστος παραγωγος παραμενω ανεβαζω τιμες θελω,3,0,0
υπαρχω ενα πολυ μεγαλος ζητημο παραγωγου λαικων αγορα υπαρχω εκκλησει ανθρωπο προτεινω γινομαι σταδιακα μεταβαση λαικες αγορα,3,0,0
θελω πρωτογενη τομεο χωρας ειδικα τελευταιες ημερε πλησιαζουμε πασχος εκκλησει κτηνοτροφων γινομαι πιο εντονες βλεπω δυστυχως δεν εισακουομαι κτηνοτροφοι,3,0,0
βλεπω μεγαλες μεριδε συμπολιτος οπως κτηνοτροφοι αγροτε δεν περιλαμβανομαι κανενος μετρας εξαγγελλω αποσπασματικα,3,0,0
πριν λαθρομεταναστευτικο ηταν θεμα εθνικο πολιτικος κοινωνικος λ τωρο θεμο ζωη θανατου,3,0,0
αποθεωνω ρωσοι γενικοτερα ελληνικη απαγορευση κυκλοφορια,2,0,0
απαγορευσε τσιγαρο κυκλοφορια εκκλησιος κολυμπι δεν ξερω τωρα ακομα επιτρεπομαι αναπνοη ξεφτιλας μεταναστευτικο αντικαπνιστικος μενω σπιτι απαγορευση κυκλοφορια καραντινα ξεφτιλες συριζα ξεφτιλες,4,1,0
χιλιαδε ζωε εξαρτωνται κρισιμες αποφασει ανθρωπο δεν ξερω φορεσουν ουτε μασκα καραντινα τσιρκο κοροναιος θεζω ρομπες,3,0,0
στ πετσας πιο κρισιμη φαση πολεμο υγει πανδημιος,3,0,0
μεταξυ ειχε εδω δικιο αδωνις βενζινη κυριολεκτικα κατακρημνιστηκε,2,0,0
γινει μπανιο θαλασσα εξεταζω κοροναιος μενουμεσπιτι,1,0,0
εμπαιγμο κατηγορω δικηγοροι κοροναιος μενουμεσπιτι,1,0,0
ισπανικη συμφωνα εφημεριδας διατηρησω λουκετο ποδοσφαιρο εως τελευταιος επιπεδο συναγερμο,1,0,0
αποψη απριλης σκληροτερος μηνας γραφει α παπαγιαννιδης οικονομι,3,0,0
κροατομουσουλμανικης ομοσπονδιας βοσνιας ερζεγοβινης ανακοινωσε πακετο μετρα υψους εκατομμυριο ευρω στηριξη επιχειρησεα νοικοκυριος πανδημιο,2,0,0
γιουκον καναδο ζητουν σταματησω μεταλλεια λειτουργω εκατονταδε εργατες κυλιομενες βαρδιες γιατι μεγαλος κινδυνο μεταδοση κοινοτητε χαλκιδικη δεν κινδυνος,1,0,0
βουλγαρια προτεινω παραταση κατασταση εκτακτης αναγκη βαλκανια,1,0,0
δασκαλοι προς επειγοντως ανοιξτε σχολειο προτου μαθητε μαθω σκεφτομαι εαυτο μενω σπιτι παρανοιος,4,1,0
βουλγαριας προτεινω παραταση κατασταση εκτακτης αναγκη μεχρι μαΐου πλαισιο μετρα αντιμετωπιση πανδημιας κορονοιου,1,0,0
κοιταξτε εδω νουμερας ηπο σημερος δειτε ποσοστο αυξηση πολιτεια νοτου πομπεο ανακοινωσε αμερικανικη παιρνω υγειονομικος υλικο ρωσια γιατι αποθεμαα ηπο τελειωσαν εσυ μενουμεστοσπιτι,3,0,0
μαλακε σκεφτομαι πλησιαζω επετειο χρονο διακυβερνηση ηγετη κυμ τρομαζω αλλο επιφυλλασω θεε γκαντεμοσαυρα πρωταπριλιος απαγορευση κυκλοφορια,4,0,1
υγειος στιγμη παιζομαι παγκοσμιος χρηματιστηριο ομολογος δημοσιος υγει βουλη,4,0,1
ιταλικη παρατεινει επισημος μετρας προστασια μεχρι απριλιο μενω σπιτι,1,1,0
αυστηροτερος μετρας μελετα αλλαζω δυνατοτηα εξοδο σπιτι χρονικη διαρκει βολτας κοροναιος πανδημιος,1,1,0
αυστηροτερος μετρας μελετα αλλαζω δυνατοτηα εξοδο σπιτι χρονικη διαρκει βολτας κοροναιος πανδημιος,1,1,0
γεννηματα πρωα βλεπω συνωστισμο αντιδρα κιναλ,3,0,0
πρωτα βλεπω συνωστισμο αντιδρα μενω σπιτι απαγορευσηκυκλοφοριας,3,1,0
αυστηροτερους περιορισμου μετακινησει αποφασομαι γραφει γιαννης καμπουρακης μετακινησει,1,0,0
δεν χωρανε οπαδικα στιγμη μπροστα ανθρωπιστικη κριση ερχομαι προεχει στηριξη εργαζομενο δημοσιος συστημα υγεια μπραβο πανω απ ολος ανθρωποι μενουμεσπιτι κοροναιος,2,1,1
καναλαρχες διαβαζω σκεφτομαι βασιλικοτερη βασιλεως ουτε προτεινε καν,4,0,0
καναμε πραξη ηθικη ατομικης ευθυνης υγει πανδημιος,1,1,0
αρχομαι μια ζητανε μοιραζει χρημας τσουβαλι αλλη οχι μνημονιο κτλ λεφτοδεντρο μοιραζω ρε ανευθυνα βρωμοκομμουνια προδοτε,4,0,1
δεν υπηρχε επρεπε εφευρουμε εβρο μεταναστευτικος απαγορευση κυκλοφορια μμε παραιτηθειτε ανικανος θεζω τσιρκο εχω πολλος χαλιο,1,0,0
τομεο υγεια δεν κανω οσο μπορω οσο πρεπει μενουμεσπιτι απαγορευσηκυκλοφοριας,2,0,0
εξεταζω μια συσφιξη χρονο μετακινησεων μενουμεσπιτι απαγορευσηκυκλοφοριας,1,0,0
ερωτηση εο κκε προς πριμοδοτει ανεξελεγκτη δραση μονοπωλιων βαρο περιβαλλοντο δημοσιας υγεια μενουμεσπιτι,4,0,1
περιορισμοι μετακινησεο επομενος βημαα εξεταζω μετακινησει,1,0,0
νεο δεσμη μετρα υψου δισ ευρω στηριξη τοπικης οικονομια ανακοινωσε σλοβενιας πανδημιος,2,0,0
γαλλια γιατροι μηνυσαν ψευδει ισχυρισμους ηταν ετοιμη αντιμετωπισω επιδημιος κορωνιος,1,0,0
ασχολουμαστε καθομαστε κλεισμενος σπιτιας παιδιας συνεχιζω ακαθεκτος λαθροεπικισμο χωρα αφροασιατη ξεβρασει θαλασσα μκο,4,0,0
επιδομα οποιος μερε ουτως αλλως δεν αρκει δεν δικαιουνται μελη μικρα επιχειρησεα οε πανω εργαζομενου παιρνω ποδοσφαιριστες εθνικης μετρας στηριξη επιδομα θεζω,4,0,0
κουβος αναστελλει αφιξει διεθνος πτησεο πλαισιο μετρα αποτραπει περαιτερω εξαπλωση πανδημιας κορονοιου παραλληλα ανακοινωσε ακυρωση γιορτη εργατικης πρωτομαγιας αβανα,1,0,0
διαβαζω αποριο καποιος μικρος αριθμο κρουσματων ρωσια συγκρατω βια ενα νευρικος γελιο ενθυμουμενος τσερνομπιλ ρωσικη σοβιετικη δηλωνε δυο νεκρου,4,1,1
συμφωνα οχι μονο εχω εκλειψει λογος αναστολης υποβολη ασυλο γινω αποδεχτες αναδρομικα εν μεσω γαλαζαιοι οπαδοι αδιαφορω κλειστος συνορο εταξαν,4,0,2
συγγνωμη εχουμε κανω μονος τεστ ρε παιδιας κοροιδευομαστε δεν εχω ιδεος κατασταση ιο χωρας τσιρκο,4,0,2
αντιπολιτευτικη επιθεση ζαιοτρολλς δουλευω καλος θεμο ημερο πεσω κρατα γερας τσιπρας ξεφτιλες μενουμεσπιτι μενω σπιτι τσιρκο,4,1,0
ισπανικη ζητησει κοινοβουλιο εγκρινω παραταση κατασταση εκτακτης αναγκη λογω δυο εβδομαδα εως απριλιο,1,0,0
εχω παραγγειλει χρειαστω περισσοτερος χωρις τεστ δεν μπορω χαραξει,1,0,0
σπιτι πατουλη τρωνε χρυσα κουταλια βεβαιη πολι γιωργου χρυσο ξεφτιλες μενουμεσπιτι μενω σπιτι τσιρκο,4,2,0
σφαιρας δεχτω νοσοκομειο δεν παω κοντοζαμανης ειπε μειωθηκαν επισκεψει επειδη λειτουργω καλυτερος κεντρας υγεια γτσσγ καραντινα,4,0,0
δεν ξερατε παιδιας μη νομιζω κρατη γινομαι περισσοτερος τεστ δεν αληθει ειπε τσιοδρας στρατηγος ψαλτης γτμτμσγ καραντινα,4,0,0
μην ξεχασω ξανα ψηφισω παιδιας,4,0,0
στελιο κοιτα κοψει εξυπναδες ειδικα πατε χουντα οπως ανακοινωσες σημερο ακυρωσω χειρογραφες βεβαιωσεις μεινω ιστοριο ως εκλεγμενη συντομοτερη θητειας,4,0,0
θεσσαλονικη κλεινω παραλιο σειχ βοηθουμενοι μμε ξεφτιλες αφηνω ανοιχτος εργοστασιο οποιο υπαρχω επιβεβαιωμενο κρουσμα τσιρκο,4,0,0
καλωσηρθατε μεσαιωνα μενω σπιτι τσιρκο χαρδαλια,4,1,0
υπευθυνη κρουσματο θανατους ιδιος πρωθυπουργο υπουργο υγεια αρρωστησαν ολα αθανασιος υπευθυνοτηα οταν υπολογιζω μονο μενω σπιτι,4,3,1
