tweet,label,#pos,#neg
ξεκιν παγκοσμ πρωταθλημ βρεταν κατεβαιν παραδοσιακ συστημ ανος αγελ φουλ επιθες ελαχιστ προσοχ αμυν γερμαν πολλ μεθ στεν τεστινγκ,4,0,0
ωρ βγ μπαλκον χειροκροτ μαρεβ,4,0,0
συνολ οικονομ μετρ εχ εξαγγειλ ανακουφιζ εργαζομεν αυτοαπασχολουμεν ευαλωτ κοινων ομαδ αχθ οικονομ υποχρεως απλων διχτ προστας νοικοκυρ πληττ,2,0,0
πιστευ υψηλ ποσοστ ελαβ μετρ οφειλ αποκλειστ μετρ οποι ελαβ μετρ ελαβ σχες μετρ εληφθ υπολοιπ χωρ,1,0,0
γυαλις ματ λεμεεε δεν καλυπτ εν περιπατ ολ θελ εν φυσιολογ ανθρωπ θελ ζω βασικ δεν παλευ,4,2,0
πολ κρισιμ χρον σημει οποι ερνης οφειλ λαβ μετρ στηριξ ελλην κοινων,3,0,0
μιλ κυβερνησαρ μεσα μολις μερ εν μον υπουργ αναιρες απολυς σκεφτ ολ μαζ ευημερ οδηγ γι ξαναψηφιστ ειδικ μεταξυ,4,0,1
ελλαδ δυστυχως βλεπ δε γιν συζητης ουσιαστ στηριξ επιχειρης ερνης,3,0,0
εκει περα ερνης πρεπ αντιληφθ υπαρχ πολ μεγαλ αριθμ συμπολιτ οποι ον ανεργ γι αυτ δυστυχως δεν προβλεπ τιποτα,3,0,0
δεν μπορ διερωτωμεθ ποι λογ υπαρχ αυξημεν τιμ ικ αγορ οταν παραγωγ επαρχ αποκλει αρα ελαχιστ παραγωγ παραμεν ανεβαζ τιμ θελ ερνης,3,0,0
υπαρχ εν πολ μεγαλ ζητημ παραγωγ λαικ αγορ υπαρχ εκκλης ανθρωπ προτειν γιν σταδιακ μεταβας ικ αγορ ερνης,3,0,0
